en,vi
"If you look at this building in Chile , it &apos;s ripped in half , but it &apos;s not a pile of rubble .","Nếu bạn nhìn toà nhà này ở Chilê , nó bị chia thành hai nửa , nhưng nó hoàn toàn không phải và một đống gạch vụn ,"
"Now these initiatives create a more mobile workplace , and they reduce our real estate footprint , and they yield savings of 23 million dollars in operating costs annually , and avoid the emissions of a 100,000 metric tons of carbon .","Hiện nay , những sáng kiến này tạo ra môi trường làm việc di dộng hơn , giúp giảm dấu vết của bất động sản , giúp tiết kiệm đến 23 triệu USD cho chi phí điều hành hằng năm , và giảm một lượng khí thải khoảng 100,000 tấn các bon ."
Anyone heard of these two guys as an example ?,Đã có ai nghe về hai anh chàng này như là một ví dụ chưa ?
You &apos;re going to send them to me .,Bạn sẽ gửi chúng cho tôi .
"And it &apos;s not decent , it &apos;s perfect .","Nó không ổn , mà nó hoàn toàn chuẩn xác ."
"These people don &apos;t need the million dollars perhaps , but wouldn &apos;t you think they &apos;d like to take it just to make me look silly ?","Những người này có thể không cần một triệu đô nhưng bạn không nghĩ rằng họ sẽ chấp nhận nó chỉ để khiến tôi xấu hổ ,"
"It was an ecosystem . Parrotfish spawning -- this is about 5,000 longnose parrotfish spawning at the entrance to one of the Phoenix Islands .","Một hệ sinh thái , và đó là thời gian đẻ trứng của cá vẹt . Có khoảng 5000 con cá vẹt mũi dài đang đẻ trứng ở lối vào một trong những đảo của Quần đảo Phượng hoàng ."
I have been trying to tell this story for a long time .,Tôi đã định kể câu chuyện này trong một thời gian dài .
And we cogitated about this for about four years .,Chúng tôi đã ngẫm nghĩ về điều này trong khoảng bốn năm .
And so we end up with vain decisions and we can &apos;t even afford our mortgage .,"Và rồi kết thúc với những quyết định vô ích và thậm chí không thể chi trả khoản thế chấp của mình ,"
"In this talk from TED University 2009 , veteran rock climber Matthew Childs shares nine pointers for rock climbing . These handy tips bear on an effective life at sea level , too .","Trong cuộc nói chuyện ở TED University vào năm 2009 , người leo núi kì cựu Matthew Childs đã chia sẻ 9 quy tắc của việc leo núi . Những lời khuyên bổ ích này cũng có liên quan đến sự tồn tại của cuộc sống trên biển ."
"This one entered her left hemisphere , and knocked out her Broca &apos;s area , the speech center of her brain .",Viên đạn này đã đi xuyên vào bán cầu não trái của bà ấy và làm tổn thương vùng Broca- trung tâm xử lý tiếng nói của não .
"What &apos;s also not often said about the space exploration , about the Apollo program , is the economic contribution it made .","Điều không thường xuyên được đề cập về thám hiểm không gian , về trương trình Apollo là sự đóng góp về kinh tế nó tạo ra"
"There &apos;s these programs called the iPad Pilot Program , and some districts have them .","Có một chương trình tên là iPad Pilot Program , và vài quận có nó ."
"But whatever it is , if we take this opportunity , we go with it , we are creative , those are the creative people , and that little stop , look , go , is such a potent seed that it can revolutionize our world .","Nhưng dù là gì , nếu chúng ta tận dụng lấy cơ hội này , chúng ta đi cùng với nó , chúng ta sáng tạo , đó là những người sáng tạo , và câu nói đơn giản dừng lại , nhìn , đi , thực sự là một hạt giống mạnh mẽ có khả năng cách mạng hoá thế giới ."
"Volkswagon was 11,333 .","Volkswagon là 11,333 ."
"Seven , six . Green board . Five , four , three , two , one .","Bảy , sáu . Bảng xanh lá cây . Năm , bốn , ba , hai , một ."
"Yes , it &apos;s possible to do that .","Vâng , có thể làm được điều đó đấy ."
